"id","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"17005",9,13,17,9842,9982,10108,0.91,1.3,1.7
"17006",1223,1322,1279,181042,183221,185411,6.8,7.2,6.9
"17007",5787,4880,5154,374500,377666,381042,15,13,14
"17008",344,342,446,87997,89910,91664,3.9,3.8,4.9
"17009",29,117,91,18150,18477,18784,1.6,6.3,4.8
"17010",6,17,26,16287,16530,16765,0.37,1,1.6
"17011",1814,2102,1973,203616,206179,208781,8.9,10,9.5
"17012",197,289,294,56667,57222,57798,3.5,5.1,5.1
"17013",10,53,51,15026,15178,15335,0.67,3.5,3.3
"17014",2,19,11,9718,9812,9908,0.21,1.9,1.1
"17015",46,63,39,25829,26130,26436,1.8,2.4,1.5
"17016",3,17,11,17346,17515,17694,0.17,0.97,0.62
"17017",175,194,201,63504,64222,64964,2.8,3,3.1
"17018",662,610,526,111748,113124,114528,5.9,5.4,4.6
"17019",1,16,27,26149,26423,26702,0.038,0.61,1
"17020",36,101,63,43446,44192,44890,0.83,2.3,1.4
"17021",4,22,20,7756,7880,7994,0.52,2.8,2.5
"17022",0,12,4,19770,19995,20234,0,0.6,0.2
"17023",0,6,4,6870,6952,7032,0,0.86,0.57
"17024",27,131,142,50389,50942,51502,0.54,2.6,2.8
"17025",11,53,75,32339,32619,32918,0.34,1.6,2.3
"17026",8,19,39,17204,17465,17718,0.47,1.1,2.2
"17027",0,7,14,11080,11174,11280,0,0.63,1.2
"17028",296,260,292,66437,67714,68900,4.5,3.8,4.2
"17029",725,820,1014,102094,103791,105382,7.1,7.9,9.6
"17030",39,118,145,48942,49810,50632,0.8,2.4,2.9
"17031",29,151,138,35852,36102,36377,0.81,4.2,3.8
"17032",1,6,1,9456,9599,9732,0.11,0.63,0.1
"17033",5,5,10,15420,15772,16109,0.32,0.32,0.62
"18001",93,59,43,37796,38188,38553,2.5,1.5,1.1
"18002",13,10,10,15824,16024,16197,0.82,0.62,0.62
"18003",4,7,4,11542,11706,11823,0.35,0.6,0.34
"18004",98,73,44,73772,75014,76161,1.3,0.97,0.58
"18005",8,13,8,11748,11877,12048,0.68,1.1,0.66
"18006",33,33,13,28266,28601,28942,1.2,1.2,0.45
"18007",9,14,4,18454,18697,18905,0.49,0.75,0.21
"18008",95,49,45,51816,52902,53901,1.8,0.93,0.83
"18009",34,21,19,35576,35983,36500,0.96,0.58,0.52
"18010",30,35,30,35564,35929,36299,0.84,0.97,0.83
"18011",58,47,27,24525,24900,25258,2.4,1.9,1.1
"18012",38,33,17,45386,46226,46969,0.84,0.71,0.36
"18013",11,6,18,7724,7770,7844,1.4,0.77,2.3
"18014",25,16,8,23109,23296,23521,1.1,0.69,0.34
"18015",89,80,31,97060,98452,99747,0.92,0.81,0.31
"18016",50,52,21,41108,41492,41939,1.2,1.3,0.5
"18017",1008,691,510,400847,408984,416455,2.5,1.7,1.2
"18018",25,29,18,31025,31344,31667,0.81,0.93,0.57
"18019",4,4,3,14167,14400,14646,0.28,0.28,0.2
"18020",205,150,82,138396,144920,150336,1.5,1,0.55
"19001",0,0,0,2840,0,0,0,0,0
"19002",0,0,0,3468,0,0,0,0,0
"19003",0,0,0,1342,0,0,0,0,0
"19004",0,0,0,33738,0,0,0,0,0
"19005",0,0,0,18818,0,0,0,0,0
"19006",2169,1702,668,555570,569896,583239,3.9,3,1.1
"19007",0,0,0,15767,0,0,0,0,0
"19008",0,0,0,3914,0,0,0,0,0
"19009",365,403,0,90712,91899,0,4,4.4,0
"19010",0,0,0,18220,0,0,0,0,0
"19011",0,0,0,7926,0,0,0,0,0
"19012",0,0,0,27651,0,0,0,0,0
"19013",0,0,0,11076,0,0,0,0,0
"19014",0,0,0,36204,0,0,0,0,0
"19015",0,0,0,1758,0,0,0,0,0
"19016",0,0,0,3435,0,0,0,0,0
"19017",29,24,0,40680,40756,0,0.71,0.59,0
"19018",243,158,0,161703,167845,0,1.5,0.94,0
"19019",371,214,176,126092,127310,128648,2.9,1.7,1.4
"19020",0,0,0,5616,0,0,0,0,0
"19021",1136,636,334,376865,385024,392848,3,1.7,0.85
"19022",0,0,0,14689,0,0,0,0,0
"19023",0,0,0,1263,0,0,0,0,0
"19024",0,0,0,6050,0,0,0,0,0
"19025",42,44,0,63174,66005,0,0.66,0.67,0
"19026",6043,3028,2250,687780,689726,693341,8.8,4.4,3.2
"19027",0,0,0,2085,0,0,0,0,0
"19028",0,0,0,1653,0,0,0,0,0
"19029",0,0,0,7075,0,0,0,0,0
"19030",0,0,0,3600,0,0,0,0,0
"19031",613,770,0,288722,299521,0,2.1,2.6,0
"19032",0,0,0,5650,0,0,0,0,0
"19033",170,89,0,81563,82272,0,2.1,1.1,0
"19034",0,0,0,5578,0,0,0,0,0
"19035",0,0,0,846,0,0,0,0,0
"19036",0,0,0,7170,0,0,0,0,0
"19037",0,0,0,5536,0,0,0,0,0
"19038",229,115,0,61224,61739,0,3.7,1.9,0
"19039",14342,6826,3828,1156558,1161984,1169441,12,5.9,3.3
"19040",0,0,0,1074,0,0,0,0,0
"19041",0,0,0,23598,0,0,0,0,0
"19042",0,0,0,5286,0,0,0,0,0
"19043",0,0,0,2679,0,0,0,0,0
"19044",0,0,0,35784,0,0,0,0,0
"19045",0,0,0,34179,0,0,0,0,0
"19046",3691,1770,1103,448141,446079,446532,8.2,4,2.5
"19047",0,0,0,17110,0,0,0,0,0
"19048",1021,879,433,275723,278016,280784,3.7,3.2,1.5
"19049",208,99,0,41682,41949,0,5,2.4,0
"19050",0,0,0,2025,0,0,0,0,0
"19051",0,0,0,4168,0,0,0,0,0
"2001",2231,2303,1987,490568,499254,507642,4.5,4.6,3.9
"2002",13446,11790,10942,977608,991453,1005227,14,12,11
"2003",810,758,752,105662,107247,108803,7.7,7.1,6.9
"2004",17530,14218,13313,1631186,1657312,1683398,11,8.6,7.9
"2005",750,681,787,96985,99585,101943,7.7,6.8,7.7
"20067",3961,3231,3002,267883,268051,268677,15,12,11
"20079",312,291,246,84979,85687,86346,3.7,3.4,2.8
"20184",221,546,468,160548,161878,163172,1.4,3.4,2.9
"20318",0,0,288,0,0,47864,0,0,6
"20324",0,25,0,0,46178,0,0,0.54,0
"20338",0,67,0,0,10014,0,0,6.7,0
"20385",0,125,64,0,83428,84649,0,1.5,0.76
"20390",0,102,0,0,48926,0,0,2.1,0
