"id","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"22015",1,2,3,9158,9292,9428,0.11,0.22,0.32
"22016",483,632,491,251345,255718,259957,1.9,2.5,1.9
"22017",70,58,49,65831,66908,67953,1.1,0.87,0.72
"22018",2,6,7,27029,27306,27614,0.074,0.22,0.25
"23001",118,121,92,83742,85729,87821,1.4,1.4,1
"23002",41,73,63,79508,81627,83800,0.52,0.89,0.75
"23003",29,19,8,17454,18064,18658,1.7,1.1,0.43
"23004",357,540,503,219772,225351,231113,1.6,2.4,2.2
"23005",2034,1191,1199,705854,727528,749392,2.9,1.6,1.6
"23006",23,18,24,38048,38918,39844,0.6,0.46,0.6
"23007",8,6,4,26804,27480,28176,0.3,0.22,0.14
"23008",539,489,353,176742,185664,194103,3,2.6,1.8
"23009",105,35,52,30582,31731,32861,3.4,1.1,1.6
"23010",29,87,111,39230,40445,41652,0.74,2.2,2.7
"24001",12,2,4,19164,19221,19376,0.63,0.1,0.21
"24002",2,0,0,8347,8360,8394,0.24,0,0
"24003",12,0,2,48179,48233,48429,0.25,0,0.041
"24004",1,0,1,4481,4467,4457,0.22,0,0.22
"24005",21,2,0,19436,19488,19624,1.1,0.1,0
"24006",0,0,0,9906,9922,9964,0,0,0
"24007",4,1,0,19063,19131,19314,0.21,0.052,0
"24008",9,0,0,21822,21857,21951,0.41,0,0
"24009",0,0,1,4254,4289,4375,0,0,0.23
"24010",12,8,0,31926,31973,32118,0.38,0.25,0
"24011",23,2,0,44716,44844,45200,0.51,0.045,0
"24012",17,4,1,21333,21353,21424,0.8,0.19,0.047
"24013",229,54,7,172666,173300,174964,1.3,0.31,0.04
"24014",3,0,2,17173,17139,17124,0.17,0,0.12
"24015",8,2,0,21612,21659,21786,0.37,0.092,0
"24016",39,2,5,42820,42978,43386,0.91,0.047,0.12
"24017",26,4,8,26410,26432,26502,0.98,0.15,0.3
"24018",9,1,1,15596,15621,15703,0.58,0.064,0.064
"24019",0,1,0,5854,5856,5859,0,0.17,0
"24020",92,28,0,94850,95291,96432,0.97,0.29,0
"24021",7,7,5,55424,55682,56361,0.13,0.13,0.089
"24022",4,1,1,19807,19853,19982,0.2,0.05,0.05
"24023",7,2,0,16118,16158,16256,0.43,0.12,0
"24024",165,15,0,94558,94863,95666,1.7,0.16,0
"24025",23,1,2,31284,31421,31784,0.74,0.032,0.063
"24026",2,1,0,9524,9529,9552,0.21,0.1,0
"24027",14,0,3,10336,10343,10367,1.4,0,0.29
"24028",4748,1085,409,795659,798606,806545,6,1.4,0.51
"24029",6,1,4,21496,21436,21398,0.28,0.047,0.19
"24030",0,1,3,5515,5501,5491,0,0.18,0.55
"24031",0,1,1,12108,12136,12215,0,0.082,0.082
"24032",20,4,3,41570,41723,42131,0.48,0.096,0.071
"24033",4,0,1,12321,12350,12423,0.32,0,0.08
"24034",5,1,4,15506,15578,15755,0.32,0.064,0.25
"24035",80,51,63,281868,283987,289313,0.28,0.18,0.22
"24036",12,4,24,29586,29661,29859,0.41,0.13,0.8
"24037",10,23,24,98558,98710,99202,0.1,0.23,0.24
"24038",0,0,1,16004,16007,16028,0,0,0.062
"24039",2,1,1,14532,14551,14611,0.14,0.069,0.068
"24040",41,5,6,39054,39180,39518,1,0.13,0.15
"24041",2,2,1,19529,19538,19582,0.1,0.1,0.051
"24042",6,1,4,14762,14808,14927,0.41,0.068,0.27
"24043",4,1,3,9130,9129,9140,0.44,0.11,0.33
"24044",0,1,1,8160,8192,8272,0,0.12,0.12
"24045",5,1,1,14726,14744,14800,0.34,0.068,0.068
"24046",7,1,5,16772,16826,16973,0.42,0.059,0.29
"24047",1,0,1,9979,9994,10034,0.1,0,0.1
"24048",0,0,1,5504,5519,5561,0,0,0.18
"24049",14,0,20,39136,39277,39654,0.36,0,0.5
"24050",1,1,4,48594,48817,49404,0.021,0.02,0.081
"24051",2,2,1,15224,15258,15350,0.13,0.13,0.065
"24052",1,1,2,10372,10382,10408,0.096,0.096,0.19
"24053",2,3,3,33726,33753,33854,0.059,0.089,0.089
"24054",27,4,0,52139,52158,52272,0.52,0.077,0
"24055",3,1,1,25443,25550,25837,0.12,0.039,0.039
"24056",11,1,3,16048,16110,16278,0.69,0.062,0.18
"24057",1,1,1,30648,30658,30719,0.033,0.033,0.033
"24058",0,4,0,21227,21314,21538,0,0.19,0
"25001",1217,1132,998,436162,440849,445333,2.8,2.6,2.2
"25002",146,197,135,46834,47192,47522,3.1,4.2,2.8
"25003",65,82,39,30697,30400,30243,2.1,2.7,1.3
"25004",46,58,53,29644,29847,30048,1.6,1.9,1.8
"25005",22,19,12,17074,16905,16812,1.3,1.1,0.71
"25006",7657,6622,5512,902386,913231,923662,8.5,7.3,6
"25007",46,51,44,34103,34240,34398,1.3,1.5,1.3
"25008",44,60,67,43820,43305,43018,1,1.4,1.6
"25009",52,57,67,56726,57332,57902,0.92,0.99,1.2
"25010",234,278,219,101446,102166,102877,2.3,2.7,2.1
"25011",498,532,532,298312,300866,303376,1.7,1.8,1.8
"25012",2254,1644,1576,460935,466636,471941,4.9,3.5,3.3
"25013",187,139,167,47440,47631,47820,3.9,2.9,3.5
"25014",86,101,75,51186,51481,51782,1.7,2,1.4
"25015",381,247,228,82194,82741,83322,4.6,3,2.7
"25016",77,60,39,23080,22962,22902,3.3,2.6,1.7
"25017",88,95,94,91491,91914,92388,0.96,1,1
"25018",863,433,384,139663,139895,140375,6.2,3.1,2.7
"26001",0,0,0,2732,0,0,0,0,0
"26002",240,236,109,83018,84382,85175,2.9,2.8,1.3
"26003",0,0,0,26690,0,0,0,0,0
"26004",0,0,0,9384,0,0,0,0,0
"26005",0,0,0,1270,0,0,0,0,0
"26006",0,0,0,3118,0,0,0,0,0
"26007",0,0,0,617,0,0,0,0,0
"26008",0,0,0,1269,0,0,0,0,0
"26009",0,0,0,802,0,0,0,0,0
"26010",0,0,0,1530,0,0,0,0,0
"26011",0,0,0,1728,0,0,0,0,0
"26012",0,0,0,23780,0,0,0,0,0
"26013",0,0,0,1715,0,0,0,0,0
"26014",0,0,0,3652,0,0,0,0,0
"26015",0,0,0,1514,0,0,0,0,0
"26016",0,0,0,5380,0,0,0,0,0
"26017",162,177,135,85858,87492,88412,1.9,2,1.5
"26018",1568,1392,816,427482,433306,436688,3.7,3.2,1.9
"26019",0,0,0,33854,0,0,0,0,0
"26020",0,0,0,5630,0,0,0,0,0
"26021",0,0,0,1678,0,0,0,0,0
"26022",0,0,0,1015,0,0,0,0,0
"26023",0,0,0,6629,0,0,0,0,0
"26024",0,0,0,868,0,0,0,0,0
"26025",159,0,0,56186,56782,0,2.8,0,0
"26026",60,0,0,63167,63916,0,0.95,0,0
"26027",0,0,0,9100,0,0,0,0,0
"26028",0,0,0,1216,0,0,0,0,0
"26029",274,299,193,156449,158820,160175,1.8,1.9,1.2
"26030",3734,3853,2307,823852,837392,845183,4.5,4.6,2.7
"26031",0,0,0,1402,0,0,0,0,0
"26032",0,0,0,997,0,0,0,0,0
"26033",255,191,88,82162,82960,83436,3.1,2.3,1.1
"26034",0,0,0,1200,0,0,0,0,0
"26035",0,0,0,13002,0,0,0,0,0
"26036",0,0,0,31384,0,0,0,0,0
"26038",0,0,0,4869,0,0,0,0,0
"26039",0,0,0,6626,0,0,0,0,0
"26040",0,0,0,2158,0,0,0,0,0
"26041",0,0,0,13242,0,0,0,0,0
"26042",455,416,231,164462,166602,167849,2.8,2.5,1.4
"26043",971,812,448,231456,235352,237616,4.2,3.5,1.9
"26044",0,0,0,408,0,0,0,0,0
"26045",0,0,0,2987,0,0,0,0,0
"26046",0,0,0,463,0,0,0,0,0
"26047",0,0,0,9777,0,0,0,0,0
"26048",238,219,71,61698,63436,64384,3.9,3.5,1.1
"26049",0,0,0,3471,0,0,0,0,0
"26050",0,0,0,1636,0,0,0,0,0
"26051",0,0,0,5348,0,0,0,0,0
"26052",0,0,0,6192,0,0,0,0,0
"26053",0,0,0,428,0,0,0,0,0
"26054",0,0,0,575,0,0,0,0,0
"26055",567,631,316,187263,190326,192077,3,3.3,1.6
"26056",0,0,0,9168,0,0,0,0,0
"26057",0,0,0,1683,0,0,0,0,0
"26058",0,0,0,16698,0,0,0,0,0
"26059",0,0,0,2084,0,0,0,0,0
"26060",0,0,0,2784,0,0,0,0,0
"26061",0,0,0,1325,0,0,0,0,0
"26062",0,0,0,1144,0,0,0,0,0
"26063",0,0,0,1436,0,0,0,0,0
"26064",0,0,0,1774,0,0,0,0,0
"26065",0,0,0,1762,0,0,0,0,0
"26066",0,0,0,9552,0,0,0,0,0
"26067",0,0,0,1814,0,0,0,0,0
"26068",0,0,0,1258,0,0,0,0,0
"26069",0,0,0,6154,0,0,0,0,0
"26070",0,0,0,16723,0,0,0,0,0
"26071",0,0,0,22839,0,0,0,0,0
"26072",0,0,0,14633,0,0,0,0,0
"27001",195,162,78,57424,57679,57847,3.4,2.8,1.3
"27002",1450,1293,1041,254592,257331,259843,5.7,5,4
"27003",256,261,224,103840,104597,105364,2.5,2.5,2.1
"27004",6400,5553,5400,661290,670640,678628,9.7,8.3,8
"27005",986,757,737,196952,198788,200508,5,3.8,3.7
"27006",732,723,681,129442,130784,132013,5.7,5.5,5.2
"27007",154,124,138,30178,30464,30722,5.1,4.1,4.5
"27008",623,689,535,182338,183676,185034,3.4,3.8,2.9
"27009",86,91,101,37078,37348,37599,2.3,2.4,2.7
"27010",303,252,206,85590,86588,87481,3.5,2.9,2.4
"27011",114,100,56,29782,29873,29994,3.8,3.3,1.9
"27012",537,360,45,155467,156498,157570,3.5,2.3,0.29
"27013",457,515,489,122490,126074,128949,3.7,4.1,3.8
"27014",351,377,204,88444,89234,89976,4,4.2,2.3
"27015",50,54,50,47051,47367,47691,1.1,1.1,1
"27016",246,239,181,54538,54971,55396,4.5,4.3,3.3
"27017",183,218,209,59608,59868,60166,3.1,3.6,3.5
"28001",2,7,16,12359,12406,12453,0.16,0.56,1.3
"28002",20,25,14,30516,30814,31060,0.66,0.81,0.45
"28003",619,544,339,228911,236070,241360,2.7,2.3,1.4
"28004",0,0,0,9292,0,0,0,0,0
"28005",1,0,0,4658,0,0,0.21,0,0
"28006",0,0,0,7815,0,0,0,0,0
"28007",16,22,9,14826,14682,14490,1.1,1.5,0.62
"28008",0,0,0,4540,0,0,0,0,0
"28009",889,731,456,203498,205110,206484,4.4,3.6,2.2
"28010",0,0,0,2007,0,0,0,0,0
"28011",0,0,0,9020,0,0,0,0,0
"28012",88,227,192,44844,45222,45548,2,5,4.2
"28013",34,24,21,16252,16420,16554,2.1,1.5,1.3
"28014",0,0,0,4739,0,0,0,0,0
"28015",12,10,2,16282,16408,16514,0.74,0.61,0.12
"28016",27,47,28,24366,24453,24533,1.1,1.9,1.1
"28017",3,9,10,15606,15744,15858,0.19,0.57,0.63
"28018",8,15,11,8525,8556,8589,0.94,1.8,1.3
"28019",24,92,48,17628,17640,17660,1.4,5.2,2.7
"28020",0,0,0,2651,0,0,0,0,0
"28021",375,493,238,119280,120136,120866,3.1,4.1,2
"28022",1327,1429,834,505818,510994,515513,2.6,2.8,1.6
"28023",0,0,0,4578,0,0,0,0,0
"28024",21,44,20,4643,4559,4442,4.5,9.7,4.5
"28025",44,43,29,28363,28854,29238,1.6,1.5,0.99
"28026",0,0,0,3587,0,0,0,0,0
"28027",4109,3471,2229,398081,402656,406541,10,8.6,5.5
"28028",0,0,0,3514,0,0,0,0,0
"28029",5,11,8,13324,13389,13444,0.38,0.82,0.6
"28030",35,45,52,14596,14778,14915,2.4,3,3.5
"28031",0,0,0,1858,0,0,0,0,0
"28032",2514,2094,1481,640907,653213,662938,3.9,3.2,2.2
"28033",328,225,116,123048,124628,125916,2.7,1.8,0.92
"28034",6,12,11,9510,9522,9537,0.63,1.3,1.2
"28035",95,175,122,58238,58354,58535,1.6,3,2.1
"28036",0,0,0,1048,0,0,0,0,0
"28037",25,59,33,25726,26016,26251,0.97,2.3,1.3
"28038",1977,1607,902,304234,305310,306491,6.5,5.3,2.9
"28039",8,24,20,28472,28702,28896,0.28,0.84,0.69
"28040",222,246,68,64644,64932,65240,3.4,3.8,1
"28041",3055,2848,1628,336292,341232,345169,9.1,8.3,4.7
"28042",0,0,0,6420,0,0,0,0,0
"28043",44,68,45,23596,23769,23912,1.9,2.9,1.9
"29001",6,13,8,10546,10844,11108,0.57,1.2,0.72
"29002",24,17,31,13894,14106,14310,1.7,1.2,2.2
"29003",5,3,3,6234,6318,6402,0.8,0.47,0.47
"29004",6,3,2,16539,16772,17002,0.36,0.18,0.12
"29005",236,222,269,78895,79804,80750,3,2.8,3.3
"29006",140,109,128,46604,47308,48006,3,2.3,2.7
"29007",23,9,13,15932,16152,16380,1.4,0.56,0.79
"29008",20,9,12,14096,14254,14422,1.4,0.63,0.83
"29009",3,1,1,5324,5431,5529,0.56,0.18,0.18
"29010",177,151,177,68104,68849,69640,2.6,2.2,2.5
"29011",1,4,2,4412,4456,4503,0.23,0.9,0.44
"29012",3,9,9,8616,8688,8766,0.35,1,1
"29013",123,99,111,88290,89602,90921,1.4,1.1,1.2
"29014",17,11,4,14397,14582,14764,1.2,0.75,0.27
"29015",23,42,38,36451,36958,37462,0.63,1.1,1
"29016",8,3,3,7012,7096,7178,1.1,0.42,0.42
"29017",5,7,5,10216,10408,10590,0.49,0.67,0.47
"29018",31,22,42,36388,36914,37438,0.85,0.6,1.1
"29019",20,8,18,19640,20031,20402,1,0.4,0.88
"29020",9,4,5,8856,9011,9160,1,0.44,0.55
"29021",6,8,13,17166,17350,17540,0.35,0.46,0.74
"29022",2,6,3,5956,6055,6152,0.34,0.99,0.49
"29023",28,42,40,24490,24836,25184,1.1,1.7,1.6
"29024",17,24,20,26202,26633,27037,0.65,0.9,0.74
"29025",78,89,81,72098,73094,74136,1.1,1.2,1.1
"29026",8,13,12,18929,19334,19706,0.42,0.67,0.61
"29027",9,10,11,12201,12370,12532,0.74,0.81,0.88
"29028",13,17,10,22594,22981,23360,0.58,0.74,0.43
"29029",10,16,7,11693,11980,12238,0.86,1.3,0.57
"29030",4,4,1,14243,14420,14604,0.28,0.28,0.068
"29031",11,14,14,30257,30890,31484,0.36,0.45,0.44
"29032",4,12,15,12871,13054,13232,0.31,0.92,1.1
"29033",318,263,248,93106,94477,95822,3.4,2.8,2.6
"29034",26,13,16,41508,42117,42728,0.63,0.31,0.37
"29035",5,0,7,5824,5921,6016,0.86,0,1.2
"29036",13,18,12,21308,21568,21832,0.61,0.83,0.55
"29037",6,5,3,8340,8362,8402,0.72,0.6,0.36
"29038",14,15,18,15356,15674,15974,0.91,0.96,1.1
"29039",21,10,17,22610,22940,23268,0.93,0.44,0.73
"29040",12,5,6,10234,10420,10592,1.2,0.48,0.57
"29041",33,33,30,28046,28459,28867,1.2,1.2,1
"29042",11,22,14,12826,13072,13296,0.86,1.7,1.1
"29043",39,34,26,34984,35820,36584,1.1,0.95,0.71
"29044",63,72,42,40166,40786,41390,1.6,1.8,1
"29045",0,2,0,5931,6018,6107,0,0.33,0
"29046",0,1,1,4287,4342,4400,0,0.23,0.23
"29047",0,1,0,2878,2916,2956,0,0.34,0
"29048",21,18,19,17537,17812,18088,1.2,1,1.1
"29049",2,3,2,5290,5382,5464,0.38,0.56,0.37
"29050",5,4,2,10065,10118,10192,0.5,0.4,0.2
"29051",3,6,1,3782,3868,3946,0.79,1.6,0.25
"29052",2,1,0,5867,5948,6028,0.34,0.17,0
"29053",1,11,10,7022,7100,7186,0.14,1.5,1.4
"29054",1,1,3,5202,5262,5326,0.19,0.19,0.56
"29055",1,1,0,2942,2984,3026,0.34,0.34,0
"29056",5,7,4,7178,7309,7431,0.7,0.96,0.54
"29057",2,13,3,4552,4639,4721,0.44,2.8,0.64
"29058",3,5,6,8288,8412,8534,0.36,0.59,0.7
"29059",3,3,3,6606,6738,6861,0.45,0.45,0.44
"29060",8,4,4,4585,4642,4701,1.7,0.86,0.85
"30003",140,47,53,85602,86204,86671,1.6,0.55,0.61
"30004",7,10,7,41974,42310,42532,0.17,0.24,0.16
"3001",82,66,98,74040,75446,77004,1.1,0.87,1.3
"30010",14,50,31,61296,61558,61804,0.23,0.81,0.5
"30011",84,27,36,53170,53590,53879,1.6,0.5,0.67
"30014",27,39,11,43517,43978,44300,0.62,0.89,0.25
"3002",42,57,54,62004,63286,64709,0.68,0.9,0.83
"30023",9,13,42,49692,50160,50495,0.18,0.26,0.83
"30028",267,372,379,139026,138836,138912,1.9,2.7,2.7
"3003",1000,824,1236,265906,272481,279411,3.8,3,4.4
"30030",61,87,24,42700,43023,43262,1.4,2,0.55
"30032",13,8,1,49378,49650,49876,0.26,0.16,0.02
"30038",134,62,75,88870,89704,90294,1.5,0.69,0.83
"30039",568,437,558,314719,318452,321085,1.8,1.4,1.7
"30040",19,30,15,49960,50604,51046,0.38,0.59,0.29
"30044",444,423,173,200726,202198,203311,2.2,2.1,0.85
"30045",224,210,56,58422,58757,59000,3.8,3.6,0.95
"30047",7,4,6,53712,54179,54545,0.13,0.074,0.11
"30048",175,55,105,122090,123902,125168,1.4,0.44,0.84
"30058",13,17,13,55327,55204,55123,0.23,0.31,0.24
"30061",108,15,82,79557,80338,80914,1.4,0.19,1
"30065",35,28,15,65108,66596,67567,0.54,0.42,0.22
"30068",93,87,32,61686,62490,63043,1.5,1.4,0.51
"30071",52,55,24,56304,56981,57470,0.92,0.97,0.42
"30073",5,11,6,42699,43073,43339,0.12,0.26,0.14
"30077",66,97,93,43438,43912,44253,1.5,2.2,2.1
"3008",660,813,806,263678,276361,288502,2.5,2.9,2.8
"30083",4,8,1,50221,50264,50324,0.08,0.16,0.02
"30085",32,11,6,67012,67632,68091,0.48,0.16,0.088
"30086",20,34,28,41499,41762,41986,0.48,0.81,0.67
"30087",1164,1095,538,473302,479624,483994,2.5,2.3,1.1
"3009",22,24,20,18417,19228,19992,1.2,1.2,1
"30102",232,259,209,103004,103526,103963,2.3,2.5,2
"30105",55,63,39,65326,68335,70276,0.84,0.92,0.55
"30108",254,183,288,160759,161658,162364,1.6,1.1,1.8
"30109",56,81,63,64074,64399,64651,0.87,1.3,0.97
"30118",367,316,201,122880,123404,123806,3,2.6,1.6
"30123",342,274,196,99392,100064,100557,3.4,2.7,1.9
"30124",205,170,149,161041,161746,162323,1.3,1.1,0.92
"30128",86,142,100,70999,71784,72354,1.2,2,1.4
"30130",50,34,10,41876,42202,42442,1.2,0.81,0.24
"30131",699,625,589,197779,199364,200498,3.5,3.1,2.9
"30133",1,28,53,56304,56594,56831,0.018,0.49,0.93
"30138",33,17,16,41122,41228,41326,0.8,0.41,0.39
"30141",114,129,70,160817,162052,163000,0.71,0.8,0.43
"30143",12,19,9,57246,57490,57693,0.21,0.33,0.16
"30155",117,67,52,102732,102866,103038,1.1,0.65,0.5
"30160",191,147,109,106034,106416,106736,1.8,1.4,1
"30173",52,36,22,53893,54356,54692,0.96,0.66,0.4
"30174",301,322,235,96879,97925,98648,3.1,3.3,2.4
"30175",152,132,119,92434,93445,94154,1.6,1.4,1.3
"30183",48,84,56,59281,59712,60046,0.81,1.4,0.93
"30189",279,187,202,146732,147878,148706,1.9,1.3,1.4
"30193",1166,1629,1625,566939,572582,576550,2.1,2.8,2.8
"30201",14,25,6,42740,43034,43270,0.33,0.58,0.14
"30204",44,11,24,46819,47084,47294,0.94,0.23,0.51
"30207",85,81,48,45904,46170,46375,1.9,1.8,1
"31038",48,20,14,31904,32390,32834,1.5,0.62,0.43
"31040",71,80,22,26804,27106,27385,2.6,3,0.8
"31041",0,105,190,87426,91650,95047,0,1.1,2
"31048",30,49,41,22286,22504,22725,1.3,2.2,1.8
"31050",2532,2048,1428,858340,869811,880154,2.9,2.4,1.6
"31052",96,129,72,35102,35549,35958,2.7,3.6,2
"31059",176,172,177,55918,56722,57439,3.1,3,3.1
"31079",62,96,20,41966,42521,43042,1.5,2.3,0.46
"31089",76,106,37,38882,39355,39808,2,2.7,0.93
"31096",83,125,70,75052,75745,76446,1.1,1.7,0.92
"31101",36,110,57,51593,51690,51945,0.7,2.1,1.1
"31102",193,136,113,76656,77646,78594,2.5,1.8,1.4
"32005",113,142,18,41008,41418,41836,2.8,3.4,0.43
"32007",52,57,25,13063,13139,13211,4,4.3,1.9
"32010",453,763,785,218434,220290,222163,2.1,3.5,3.5
"32019",58,55,79,23824,23864,23926,2.4,2.3,3.3
"32020",120,264,210,59185,59718,60198,2,4.4,3.5
"32023",41,23,18,12521,12582,12639,3.3,1.8,1.4
"32024",68,71,63,49798,50342,50874,1.4,1.4,1.2
"32025",0,0,0,12587,0,0,0,0,0
"32029",93,173,103,22752,22896,23056,4.1,7.6,4.5
"32034",40,31,51,28522,28696,28860,1.4,1.1,1.8
"32036",208,108,61,41642,41954,42280,5,2.6,1.4
"32038",83,55,52,71121,71490,71914,1.2,0.77,0.72
"32039",112,116,165,64360,64942,65504,1.7,1.8,2.5
"32042",179,141,114,62292,62586,62912,2.9,2.3,1.8
"32047",31,24,21,5572,5585,5600,5.6,4.3,3.8
"32048",114,117,163,26590,27038,27432,4.3,4.3,5.9
"32049",15,43,50,33664,33619,33640,0.45,1.3,1.5
"32055",48,47,27,29743,29774,29824,1.6,1.6,0.91
"32056",2344,2341,1517,141214,142222,143271,17,16,11
"4001",4,3,3,54980,55736,56509,0.073,0.054,0.053
"4002",88,68,144,271000,275550,279988,0.32,0.25,0.51
"4003",189,106,202,232037,236340,240552,0.81,0.45,0.84
"4004",18,15,20,86616,87946,89282,0.21,0.17,0.22
"4005",2,2,6,29335,29675,30040,0.068,0.067,0.2
"4006",0,4,4,39228,39744,40282,0,0.1,0.099
"4007",2,0,1,8532,8572,8628,0.23,0,0.12
"4008",2,2,7,10132,10268,10406,0.2,0.19,0.67
"4009",5,17,26,56430,57267,58134,0.089,0.3,0.45
"4010",4,4,4,28076,28546,29026,0.14,0.14,0.14
"4011",7,16,28,43009,43691,44370,0.16,0.37,0.63
"5001",0,0,2,1101,0,1124,0,0,1.8
"5002",94,124,196,140348,141886,143538,0.67,0.87,1.4
"5003",17,23,22,23508,23848,24174,0.72,0.96,0.91
"5004",41,32,29,23413,23765,24090,1.8,1.3,1.2
"5005",0,0,0,1842,0,1868,0,0,0
"5006",17,61,31,26650,26934,27224,0.64,2.3,1.1
"5007",4,8,7,13314,13412,13519,0.3,0.6,0.52
"5008",0,0,1,2959,0,3000,0,0,0.33
"5009",61,65,70,57179,57768,58383,1.1,1.1,1.2
"5010",53,48,130,77164,77910,78697,0.69,0.62,1.7
"5011",6,3,8,11857,11898,11953,0.51,0.25,0.67
"5012",0,0,3,2144,0,2195,0,0,1.4
"5013",0,0,0,1930,0,2011,0,0,0
"5014",0,0,3,10067,0,10159,0,0,0.3
"5015",0,0,0,1666,0,1729,0,0,0
"5016",0,0,1,1876,0,1903,0,0,0.53
"5017",141,201,290,109754,110774,111870,1.3,1.8,2.6
"5018",254,713,715,222427,224844,227275,1.1,3.2,3.1
"5019",0,20,1,8487,8540,8748,0,2.3,0.11
"5020",21,29,82,68420,68988,69594,0.31,0.42,1.2
"5021",0,0,0,6504,0,6648,0,0,0
"5022",0,0,10,28558,0,29180,0,0,0.34
"5023",1,3,0,11258,11352,11455,0.089,0.26,0
"5024",24,13,38,46090,46287,46554,0.52,0.28,0.82
"5025",211,217,234,156176,157490,158972,1.4,1.4,1.5
"5026",0,0,4,3528,0,3566,0,0,1.1
"5027",130,166,161,80714,83164,85325,1.6,2,1.9
"5028",65,75,87,63348,64388,65352,1,1.2,1.3
"5029",0,0,1,2388,0,2454,0,0,0.41
"5030",1820,2144,1962,750918,761894,772542,2.4,2.8,2.5
"5031",15,16,24,23006,23356,23681,0.65,0.69,1
"5032",24,24,63,42455,42704,42982,0.57,0.56,1.5
"5033",79,115,187,105544,106637,107739,0.75,1.1,1.7
"5034",0,1,3,6686,6860,6994,0,0.15,0.43
"5035",4592,4836,3798,661627,670738,679562,6.9,7.2,5.6
"5036",0,0,41,21852,0,22350,0,0,1.8
"5037",0,0,0,6369,0,6421,0,0,0
"5038",3,16,11,12901,12952,13024,0.23,1.2,0.84
"6001",85,80,59,29877,30402,30920,2.8,2.6,1.9
"6002",1086,1417,942,152416,154910,157374,7.1,9.1,6
"6003",15,23,15,21434,21659,21906,0.7,1.1,0.68
"6004",23,32,24,20083,20408,20734,1.1,1.6,1.2
"6005",37,45,29,27728,27980,28262,1.3,1.6,1
"6006",10,7,3,5496,5576,5654,1.8,1.3,0.53
"6007",686,1046,812,169162,172806,176352,4.1,6.1,4.6
"6008",0,4,2,8428,8536,8650,0,0.47,0.23
"6009",436,373,430,117536,119669,121808,3.7,3.1,3.5
"6010",375,571,491,126670,129899,132979,3,4.4,3.7
"7001",13,26,21,17636,17898,18146,0.74,1.5,1.2
"7002",10,8,9,30316,30669,31137,0.33,0.26,0.29
"7003",26,18,48,28960,29457,29880,0.9,0.61,1.6
"7004",14,14,19,31524,32220,32823,0.44,0.43,0.58
"7005",9,3,6,22002,22198,22402,0.41,0.14,0.27
"7006",3,0,4,31093,0,32169,0.096,0,0.12
"7007",5,1,0,8912,8914,0,0.56,0.11,0
"7008",5,12,15,26986,26785,26668,0.19,0.45,0.56
"7009",88,58,105,41232,41477,41744,2.1,1.4,2.5
"7011",0,6,3,0,20206,20432,0,0.3,0.15
"7012",34,33,55,46430,47585,48800,0.73,0.69,1.1
"7013",20,25,12,32101,32576,33048,0.62,0.77,0.36
"7014",2,3,1,19501,20157,20707,0.1,0.15,0.048
"7015",24,19,23,45374,45788,46224,0.53,0.41,0.5
"7016",15,29,11,17832,18018,18192,0.84,1.6,0.6
"7017",65,55,94,80906,81616,82360,0.8,0.67,1.1
"7018",5,1,2,8769,8820,8961,0.57,0.11,0.22
"7019",212,178,226,149236,152150,154845,1.4,1.2,1.5
"7020",8,4,16,45842,46692,47280,0.17,0.086,0.34
"7021",12,1,2,21677,21796,22007,0.55,0.046,0.091
"7022",3,6,2,14319,14361,14446,0.21,0.42,0.14
"7023",23,13,11,80207,81165,82338,0.29,0.16,0.13
"7024",1,0,7,11148,0,11386,0.09,0,0.61
"7025",2,3,2,7519,7561,7616,0.27,0.4,0.26
"7026",10,7,7,37500,37916,38370,0.27,0.18,0.18
"7027",117,101,125,93060,95027,96810,1.3,1.1,1.3
"7028",1,1,0,5621,5704,5767,0.18,0.18,0
"7029",1,0,7,5115,0,5146,0.2,0,1.4
"7030",6,7,19,32894,33375,33812,0.18,0.21,0.56
"7031",50,44,47,116404,117986,119574,0.43,0.37,0.39
"7032",37,63,72,31244,31571,31900,1.2,2,2.3
"7033",4,3,0,7200,7303,0,0.56,0.41,0
"7034",53,55,47,70912,72276,73537,0.75,0.76,0.64
"7035",14,7,6,13355,13498,13808,1,0.52,0.43
"7037",26,19,11,34928,35382,35822,0.74,0.54,0.31
"7038",6,7,5,22378,22633,22888,0.27,0.31,0.22
"7039",7,6,6,23437,23747,24064,0.3,0.25,0.25
"7040",123,69,97,53255,53768,54298,2.3,1.3,1.8
"7041",2,2,6,43094,43756,44612,0.046,0.046,0.13
"7042",7,3,0,10792,10962,11152,0.65,0.27,0
"7043",6,2,4,10478,10587,10692,0.57,0.19,0.37
"7044",19,9,5,25669,25993,26476,0.74,0.35,0.19
"7045",2,1,3,5708,5822,5904,0.35,0.17,0.51
"7046",40,43,19,39069,39357,39650,1,1.1,0.48
"7047",5,8,5,19697,20138,20489,0.25,0.4,0.24
"7048",42,45,18,21794,21960,22138,1.9,2,0.81
"7049",7,4,5,21194,21372,21689,0.33,0.19,0.23
"7050",4,1,2,5058,5034,5034,0.79,0.2,0.4
"7051",50,44,59,46308,47113,47853,1.1,0.93,1.2
"7052",13,40,43,116550,118427,120161,0.11,0.34,0.36
