"id","state_code","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013","h2011","h2012","h2013","rh2011","rh2012","rh2013"
21175,21,0,1,8,10004,10050,10000,0,0.1,0.79,0,1,4,0,0.1,0.4
21176,21,2,2,7,8576,8616,8700,0.23,0.23,0.81,1,0,3,0.12,0,0.35
21177,21,14,12,24,49768,50250,51000,0.28,0.24,0.47,0,8,3,0,0.16,0.059
21178,21,1,4,4,17372,17407,17000,0.058,0.23,0.23,0,4,1,0,0.23,0.057
21179,21,7,10,13,29400,29676,30000,0.24,0.34,0.43,0,1,1,0,0.034,0.033
21180,21,8,9,11,37707,38118,39000,0.21,0.24,0.29,2,1,1,0.053,0.026,0.026
21181,21,1,6,3,6490,6562,6600,0.15,0.91,0.45,1,1,1,0.15,0.15,0.15
21182,21,1,0,3,4960,5001,5000,0.2,0,0.59,0,0,0,0,0,0
21183,21,7,4,5,20252,20368,21000,0.35,0.2,0.24,3,4,2,0.15,0.2,0.098
21184,21,0,2,1,6591,6654,6700,0,0.3,0.15,0,2,0,0,0.3,0
21185,21,1,2,3,8654,8734,8800,0.12,0.23,0.34,0,0,0,0,0,0
21186,21,3,19,16,53268,53892,54000,0.056,0.35,0.29,0,0,2,0,0,0.037
21187,21,1,1,1,5515,5532,5500,0.18,0.18,0.18,0,1,0,0,0.18,0
21188,21,2,3,5,17814,18110,18000,0.11,0.17,0.27,0,1,0,0,0.055,0
21189,21,2,9,6,20372,20606,21000,0.098,0.44,0.29,0,2,1,0,0.097,0.048
21190,21,0,1,0,1184,1192,1200,0,0.84,0,0,1,0,0,0.84,0
21191,21,1,7,7,9531,9636,9700,0.1,0.73,0.72,1,4,2,0.1,0.42,0.21
21192,21,0,0,0,6118,6162,6200,0,0,0,0,0,0,0,0,0
21193,21,0,1,0,6429,6496,6600,0,0.15,0,0,1,0,0,0.15,0
21194,21,14,42,37,28740,29011,29000,0.49,1.4,1.3,2,6,6,0.07,0.21,0.2
21195,21,1,6,3,25395,25848,26000,0.039,0.23,0.11,0,3,2,0,0.12,0.076
21196,21,1,0,0,1737,1770,1800,0.58,0,0,0,0,0,0,0,0
21197,21,20,53,87,77764,78439,79000,0.26,0.68,1.1,7,3,9,0.09,0.038,0.11
21198,21,0,0,0,1262,1267,1300,0,0,0,0,0,0,0,0,0
21199,21,1,12,10,39145,39571,40000,0.026,0.3,0.25,0,2,1,0,0.051,0.025
21200,21,1,1,0,3964,3971,4000,0.25,0.25,0,0,0,0,0,0,0
21201,21,0,0,1,3278,3308,3300,0,0,0.3,0,0,1,0,0,0.3
21202,21,1,2,4,12522,12598,13000,0.08,0.16,0.32,0,1,2,0,0.079,0.16
21203,21,1,1,0,6268,6341,6400,0.16,0.16,0,0,0,0,0,0,0
21204,21,1,0,2,7752,7829,7900,0.13,0,0.25,0,0,0,0,0,0
21205,21,1,6,10,23798,24082,24000,0.042,0.25,0.41,0,2,1,0,0.083,0.041
21206,21,0,0,0,4362,4406,4400,0,0,0,0,0,0,0,0,0
21207,21,37,21,18,54724,55190,56000,0.68,0.38,0.32,5,3,3,0.091,0.054,0.054
21208,21,120,50,116,78938,79979,81000,1.5,0.63,1.4,27,9,8,0.34,0.11,0.099
21209,21,0,3,6,8462,8549,8600,0,0.35,0.69,0,1,1,0,0.12,0.12
21210,21,0,0,0,5772,5832,5900,0,0,0,0,0,0,0,0,0
21211,21,4,5,14,15982,16175,16000,0.25,0.31,0.86,0,0,2,0,0,0.12
21212,21,3,4,4,19862,19972,20000,0.15,0.2,0.2,0,0,0,0,0,0
21213,21,0,4,7,12796,12856,13000,0,0.31,0.54,0,3,3,0,0.23,0.23
21214,21,1,3,9,16226,16422,17000,0.062,0.18,0.54,0,2,1,0,0.12,0.06
21215,21,0,0,0,4738,4790,4800,0,0,0,0,0,0,0,0,0
21216,21,0,0,0,2677,2684,2700,0,0,0,0,0,0,0,0,0
21217,21,2,2,2,21029,21166,21000,0.095,0.094,0.094,1,1,1,0.048,0.047,0.047
22001,22,46,59,31,63688,64301,65000,0.72,0.92,0.48,6,6,8,0.094,0.093,0.12
22002,22,4,3,3,27493,27616,28000,0.15,0.11,0.11,2,1,1,0.073,0.036,0.036
22003,22,2,0,1,13054,13083,13000,0.15,0,0.076,1,0,0,0.077,0,0
22004,22,31,29,35,66008,66794,68000,0.47,0.43,0.52,2,1,2,0.03,0.015,0.03
22005,22,31,40,20,59897,60644,61000,0.52,0.66,0.33,2,1,5,0.033,0.016,0.081
22006,22,193,255,256,153852,159103,160000,1.3,1.6,1.6,5,6,5,0.032,0.038,0.031
22007,22,52,54,37,39095,39524,40000,1.3,1.4,0.93,1,0,1,0.026,0,0.025
22008,22,15,22,13,36417,36780,37000,0.41,0.6,0.35,2,3,0,0.055,0.082,0
22009,22,12,7,17,26574,27024,27000,0.45,0.26,0.62,3,2,1,0.11,0.074,0.036
22010,22,5,9,5,20247,20342,20000,0.25,0.44,0.24,0,1,0,0,0.049,0
22011,22,128,210,244,126895,132020,140000,1,1.6,1.8,7,13,9,0.055,0.098,0.066
22012,22,81,72,69,66091,67033,68000,1.2,1.1,1,0,10,5,0,0.15,0.074
22013,22,3,1,1,18792,18912,19000,0.16,0.053,0.052,0,0,0,0,0,0
22014,22,2757,3113,3255,825488,835945,850000,3.3,3.7,3.8,44,47,58,0.053,0.056,0.068
22015,22,1,2,3,9158,9292,9400,0.11,0.22,0.32,0,0,0,0,0,0
22016,22,483,632,491,251345,255718,260000,1.9,2.5,1.9,20,14,14,0.08,0.055,0.054
